strategy_type,strategy_name,avg_roi,win_rate,trades_count
partial_exit,partial_tp10_trail3.0,7.48362455988852,0.0,2214
partial_exit,partial_tp7_trail2.5,5.852155363527651,0.0,3743
partial_exit,partial_tp5_trail2.0,4.80712469787131,0.0,5704
breakeven_trailing,be2_trail5_dist1.5,0.6141889098259927,39.864245334288725,0
ratio_exit,ratio_decline_5_candles,0.3584033448783723,54.574544988243176,0
volume_exit,vol_threshold_1.5,-0.004732876266120451,34.24671385237614,0
volume_exit,vol_threshold_1.3,-0.0052494591688824425,35.53589484327604,0
volume_exit,vol_threshold_1.1,-0.013575858154464132,37.49241658240648,0
volume_exit,vol_threshold_1.2,-0.014061304055434081,36.395348837209305,0
trailing_atr,atr_1.0x,-0.03250252579568601,18.51870576339737,0
trailing_atr,atr_1.5x,-0.04299542698898775,14.711830131445904,0
trailing_atr,atr_2.0x,-0.05091394774923556,12.199759842059613,0
ratio_exit,ratio_decline_2_candles,-0.06797520323895043,44.51971688574317,0
trailing_atr,atr_2.5x,-0.08641532481689879,9.934161898207842,0
trailing_atr,atr_3.0x,-0.1360252167036178,8.359589530622452,0
ratio_exit,ratio_decline_3_candles,-0.14177277669268767,48.4732052578362,0
ratio_exit,ratio_decline_4_candles,-0.17451698524999884,50.867459812377476,0
ema_divergence,ema_div_0.000100,-0.29500646443523626,45.385665705954075,0
ema_divergence,ema_div_0.000200,-0.3012231454438187,45.18851410242822,0
ema_divergence,ema_div_0.000300,-0.30274642501627824,44.92787441808741,0
breakeven_trailing,be3_trail7_dist2.0,-0.6596455157843899,34.86811933423606,0
breakeven_trailing,be5_trail10_dist2.5,-6.065705633421848,31.91191734150388,0
