Estratégia,ROI (%),Saldo Final ($),Win Rate (%),Total Trades,Trades/Dia,Max Drawdown (%),Sharpe Ratio,Profit Factor
Volatility Breakout,0.8125281706034477,10.081252817060344,100.0,5,0.0136986301369863,0.0,23.268949800834534,inf
Trend Following MACD,0.4941671922991024,10.04941671922991,50.0,4,0.010958904109589041,0.10523540109202856,8.538112256748706,5.691507291481244
Mean Reversion VP,0.1266262755677931,10.012662627556779,57.14285714285714,7,0.019178082191780823,0.12471516265612653,3.02468723879467,1.6955160903635451
Breakout EMA Golden,-0.16502582860208112,9.983497417139793,0.0,2,0.005479452054794521,0.16502582860209003,-201.8104660652158,0.0
News Impact,-0.2136742086632872,9.978632579133672,33.33333333333333,18,0.049315068493150684,0.35219219215941067,-3.804473083208165,0.49239804427708184
Momentum Squeeze,-0.7699829245199252,9.923001707548007,10.0,10,0.0273972602739726,0.7699829245199297,-16.387645512673416,0.04444923454759289
ML Pattern Recognition,-0.8895357626377205,9.911046423736227,23.076923076923077,78,0.2136986301369863,0.8895357626377631,-2.65737342254187,0.6290481521365048
Scalping RSI+BB,-1.1721915839477974,9.88278084160522,11.11111111111111,9,0.024657534246575342,1.1721915839478037,-21.573154756950398,0.03520113498132611
Grid Trading Fib,-7.070214396703957,9.292978560329605,7.142857142857142,378,1.0356164383561643,7.07937737667587,-6.896019393926558,0.15284459489756017
Support/Resistance,-17.939722130174783,8.206027786982522,5.0495049504950495,1010,2.767123287671233,17.93972213018092,-13.220214506967086,0.10340410329903885
